CSU,plant_background,GBIF_usage_key
Lawn,Managed lawn (turf species not recorded),NA
PB,Pinus bungeana,5285775
PG,Phyllostachys glauca,4136797
SJ,Styphnolobium japonicum,2963569
NZE,Ligustrum lucidum × Iris tectorum,3172297;5298774
GB×CH,Ginkgo biloba × Cotoneaster horizontalis,2687885;3025617
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,2963569;3172266
OF×RC,Osmanthus fragrans × Rosa chinensis,3172278;3005039
AR×ND,Acer palmatum × Nandina domestica,3189882;5371712
GYL×EF,Magnolia grandiflora × Euonymus fortunei,9605163;3169137
GYL×ND,Magnolia grandiflora × Nandina domestica,9605163;5371712
