Window,Treatment,n,mean,sd,median,minimum,maximum
July,CK,33,167.37272727272727,84.94074137570584,148.4,36.5,340.5
July,DCD,33,142.96060606060607,72.76276923757926,122.6,21.9,291.2
July,Biochar,33,133.3060606060606,69.58758842007109,121.3,26.1,284.1
October,CK,33,47.445454545454545,13.396690144143134,45.9,28.4,76.2
October,DCD,33,41.869696969696975,11.82918754734674,41.8,22.7,67.9
October,Biochar,33,39.56363636363636,11.159519988047714,38.3,22.6,64.1
